r,t,y,TotalCapacityAnnual
"Region1","BS_TRA_AN_001",2050,0
"Region1","BS_TRA_RAIL_001",2018,0
"Region1","BS_TRA_RAIL_001",2019,0
"Region1","BS_TRA_RAIL_001",2020,0
"Region1","BS_TRA_RAIL_001",2021,0
"Region1","BS_TRA_RAIL_001",2022,0
"Region1","BS_TRA_RAIL_001",2023,0
"Region1","BS_TRA_RAIL_001",2024,0
"Region1","BS_TRA_RAIL_001",2025,0
"Region1","BS_TRA_RAIL_001",2026,0
"Region1","BS_TRA_RAIL_001",2027,0
"Region1","BS_TRA_RAIL_001",2028,0
"Region1","BS_TRA_RAIL_001",2029,0
"Region1","BS_TRA_RAIL_001",2030,0
"Region1","BS_TRA_RAIL_001",2031,0
"Region1","BS_TRA_RAIL_001",2032,0
"Region1","BS_TRA_RAIL_001",2033,0
"Region1","BS_TRA_RAIL_001",2034,0
"Region1","BS_TRA_RAIL_001",2035,0
"Region1","BS_TRA_RAIL_001",2036,0
"Region1","BS_TRA_RAIL_001",2037,0
"Region1","BS_TRA_RAIL_001",2038,0
"Region1","BS_TRA_RAIL_001",2039,0
"Region1","BS_TRA_RAIL_001",2040,0
"Region1","BS_TRA_RAIL_001",2041,0
"Region1","BS_TRA_RAIL_001",2042,0
"Region1","BS_TRA_RAIL_001",2043,0
"Region1","BS_TRA_RAIL_001",2044,0
"Region1","BS_TRA_RAIL_001",2045,0
"Region1","BS_TRA_RAIL_001",2046,0
"Region1","BS_TRA_RAIL_001",2047,0
"Region1","BS_TRA_RAIL_001",2048,0
"Region1","BS_TRA_RAIL_001",2049,0
"Region1","BS_TRA_RAIL_001",2050,0
"Region1","BS_TRA_ROAD_001",2018,0
"Region1","BS_TRA_ROAD_001",2019,0
"Region1","BS_TRA_ROAD_001",2020,0
"Region1","BS_TRA_ROAD_001",2021,0
"Region1","BS_TRA_ROAD_001",2022,0
"Region1","BS_TRA_ROAD_001",2023,0
"Region1","BS_TRA_ROAD_001",2024,0
"Region1","BS_TRA_ROAD_001",2025,0
"Region1","BS_TRA_ROAD_001",2026,0
"Region1","BS_TRA_ROAD_001",2027,0
"Region1","BS_TRA_ROAD_001",2028,0
"Region1","BS_TRA_ROAD_001",2029,0
"Region1","BS_TRA_ROAD_001",2030,0
"Region1","BS_TRA_ROAD_001",2031,0
"Region1","BS_TRA_ROAD_001",2032,0
"Region1","BS_TRA_ROAD_001",2033,0
"Region1","BS_TRA_ROAD_001",2034,0
"Region1","BS_TRA_ROAD_001",2035,0
"Region1","BS_TRA_ROAD_001",2036,0
"Region1","BS_TRA_ROAD_001",2037,0
"Region1","BS_TRA_ROAD_001",2038,0
"Region1","BS_TRA_ROAD_001",2039,0
"Region1","BS_TRA_ROAD_001",2040,0
"Region1","BS_TRA_ROAD_001",2041,0
"Region1","BS_TRA_ROAD_001",2042,0
"Region1","BS_TRA_ROAD_001",2043,0
"Region1","BS_TRA_ROAD_001",2044,0
"Region1","BS_TRA_ROAD_001",2045,0
"Region1","BS_TRA_ROAD_001",2046,0
"Region1","BS_TRA_ROAD_001",2047,0
"Region1","BS_TRA_ROAD_001",2048,0
"Region1","BS_TRA_ROAD_001",2049,0
"Region1","BS_TRA_ROAD_001",2050,0
"Region1","COM_CWH_BIO_001",2018,18.9891313221322
"Region1","COM_CWH_BIO_001",2019,32.5244352749418
"Region1","COM_CWH_BIO_001",2020,37.5226278767877
"Region1","COM_CWH_BIO_001",2021,55.0711657099768
"Region1","COM_CWH_BIO_001",2022,72.0100419390926
"Region1","COM_CWH_BIO_001",2023,95.2117924278415
"Region1","COM_CWH_BIO_001",2024,93.4442013515082
"Region1","COM_CWH_BIO_001",2025,107.655614654292
"Region1","COM_CWH_BIO_001",2026,105.757105320532
"Region1","COM_CWH_BIO_001",2027,203.767280247356
"Region1","COM_CWH_BIO_001",2028,228.534135030706
"Region1","COM_CWH_BIO_001",2029,254.808322802798
"Region1","COM_CWH_BIO_001",2030,165.743376337634
"Region1","COM_CWH_BIO_001",2031,1300.58211965192
"Region1","COM_CWH_BIO_001",2032,318.656470201937
"Region1","COM_CWH_BIO_001",2033,315.105023252325
"Region1","COM_CWH_BIO_001",2034,227.338695069507
"Region1","COM_CWH_BIO_001",2035,246.026936093609
"Region1","COM_CWH_BIO_001",2036,266.251432743274
"Region1","COM_CWH_BIO_001",2037,334.233942227378
"Region1","COM_CWH_BIO_001",2038,387.561889123679
"Region1","COM_CWH_BIO_001",2039,391.443550580047
"Region1","COM_CWH_BIO_001",2040,423.621932830627
"Region1","COM_CWH_BIO_001",2041,458.445519605569
"Region1","COM_CWH_BIO_001",2042,427.708346734674
"Region1","COM_CWH_BIO_001",2043,462.867854685469
"Region1","COM_CWH_BIO_001",2044,500.917628962897
"Region1","COM_CWH_BIO_001",2045,542.095262126213
"Region1","COM_CWH_BIO_001",2046,586.657877887789
"Region1","COM_CWH_BIO_001",2047,634.883736773677
"Region1","COM_CWH_BIO_001",2048,687.07397339734
"Region1","COM_CWH_BIO_001",2049,1026.76442715095
"Region1","COM_CWH_BIO_001",2050,1000.12114232443
"Region1","COM_CWH_NGS_001",2018,16.266865457182
"Region1","COM_CWH_NGS_001",2019,14.9112933350392
"Region1","COM_CWH_NGS_001",2020,13.5557212146025
"Region1","COM_CWH_NGS_001",2021,12.2001490924599
"Region1","COM_CWH_NGS_001",2022,10.8445769703173
"Region1","COM_CWH_NGS_001",2023,7.68188736776688
"Region1","COM_CWH_NGS_001",2024,8.13343272773797
"Region1","COM_CWH_NGS_001",2025,4.60925973085847
"Region1","COM_CWH_NGS_001",2026,5.42228848515865
"Region1","COM_CWH_NGS_001",2027,4.06671636472194
"Region1","COM_CWH_NGS_001",2028,2.71114424257933
"Region1","COM_CWH_NGS_001",2029,1.09741248170142
"Region1","COM_CWH_NGS_001",2030,0
"Region1","COM_CWH_NGS_001",2031,0
"Region1","COM_CWH_NGS_001",2032,0
"Region1","COM_CWH_NGS_001",2033,0
"Region1","COM_CWH_NGS_001",2034,0
"Region1","COM_CWH_NGS_001",2035,0
"Region1","COM_CWH_NGS_001",2036,0
"Region1","COM_CWH_NGS_001",2037,0
"Region1","COM_CWH_NGS_001",2038,0
"Region1","COM_CWH_NGS_001",2039,0
"Region1","COM_CWH_NGS_001",2040,0
"Region1","COM_CWH_NGS_001",2041,0
"Region1","COM_CWH_NGS_001",2042,0
"Region1","COM_CWH_NGS_001",2043,0
"Region1","COM_CWH_NGS_001",2044,0
"Region1","COM_CWH_NGS_001",2045,0
"Region1","COM_CWH_NGS_001",2046,0
"Region1","COM_CWH_NGS_001",2047,0
"Region1","COM_CWH_NGS_001",2048,0
"Region1","COM_CWH_NGS_001",2049,0
"Region1","COM_CWH_NGS_001",2050,0
"Region1","COM_CWH_OILPRD_001",2018,129.437068672951
"Region1","COM_CWH_OILPRD_001",2019,34.2939829579316
"Region1","COM_CWH_OILPRD_001",2020,41.0840394282557
"Region1","COM_CWH_OILPRD_001",2021,37.059981737475
"Region1","COM_CWH_OILPRD_001",2022,23.8015425142514
"Region1","COM_CWH_OILPRD_001",2023,20.8263497049705
"Region1","COM_CWH_OILPRD_001",2024,17.8511568856886
"Region1","COM_CWH_OILPRD_001",2025,14.8759640764076
"Region1","COM_CWH_OILPRD_001",2026,11.9007712571257
"Region1","COM_CWH_OILPRD_001",2027,14.6522506747661
"Region1","COM_CWH_OILPRD_001",2028,5.95038562856286
"Region1","COM_CWH_OILPRD_001",2029,2.97519281428143
"Region1","COM_CWH_OILPRD_001",2030,0
"Region1","COM_CWH_OILPRD_001",2031,0
"Region1","COM_CWH_OILPRD_001",2032,0
"Region1","COM_CWH_OILPRD_001",2033,0
"Region1","COM_CWH_OILPRD_001",2034,0
"Region1","COM_CWH_OILPRD_001",2035,0
"Region1","COM_CWH_OILPRD_001",2036,0
"Region1","COM_CWH_OILPRD_001",2037,0
"Region1","COM_CWH_OILPRD_001",2038,0
"Region1","COM_CWH_OILPRD_001",2039,0
"Region1","COM_CWH_OILPRD_001",2040,0
"Region1","COM_CWH_OILPRD_001",2041,0
"Region1","COM_CWH_OILPRD_001",2042,0
"Region1","COM_CWH_OILPRD_001",2043,0
"Region1","COM_CWH_OILPRD_001",2044,0
"Region1","COM_CWH_OILPRD_001",2045,0
"Region1","COM_CWH_OILPRD_001",2046,0
"Region1","COM_CWH_OILPRD_001",2047,0
"Region1","COM_CWH_OILPRD_001",2048,0
"Region1","COM_CWH_OILPRD_001",2049,0
"Region1","COM_CWH_OILPRD_001",2050,0
"Region1","COM_EE",2018,0
"Region1","COM_EE",2019,0
"Region1","COM_EE",2020,0
"Region1","COM_EE",2021,0
"Region1","COM_EE",2022,0
"Region1","COM_EE",2023,0
"Region1","COM_EE",2024,0
"Region1","COM_EE",2025,0
"Region1","COM_EE",2026,0
"Region1","COM_EE",2027,0
"Region1","COM_EE",2028,0
"Region1","COM_EE",2029,0
"Region1","COM_EE",2030,0
"Region1","COM_EE",2031,0
"Region1","COM_EE",2032,0
"Region1","COM_EE",2033,0
"Region1","COM_EE",2034,0
"Region1","COM_EE",2035,0
"Region1","COM_EE",2036,0
"Region1","COM_EE",2037,0
"Region1","COM_EE",2038,0
"Region1","COM_EE",2039,0
"Region1","COM_EE",2040,0
"Region1","COM_EE",2041,0
"Region1","COM_EE",2042,0
"Region1","COM_EE",2043,0
"Region1","COM_EE",2044,0
"Region1","COM_EE",2045,0
"Region1","COM_EE",2046,0
"Region1","COM_EE",2047,0
"Region1","COM_EE",2048,0
"Region1","COM_EE",2049,0
"Region1","COM_EE",2050,0
"Region1","COM_EL_APP_001",2018,414.467005076142
"Region1","COM_EL_APP_001",2019,448.531544597534
"Region1","COM_EL_APP_001",2020,485.406091370558
"Region1","COM_EL_APP_001",2021,525.308194343727
"Region1","COM_EL_APP_001",2022,568.49166062364
"Region1","COM_EL_APP_001",2023,615.228426395939
"Region1","COM_EL_APP_001",2024,665.808556925308
"Region1","COM_EL_APP_001",2025,720.540246555475
"Region1","COM_EL_APP_001",2026,779.767947788252
"Region1","COM_EL_APP_001",2027,843.854242204496
"Region1","COM_EL_APP_001",2028,913.234227701233
"Region1","COM_EL_APP_001",2029,988.306744017404
"Region1","COM_EL_APP_001",2030,1069.54314720812
"Region1","COM_EL_APP_001",2031,1157.46918056563
"Region1","COM_EL_APP_001",2032,1252.61058738216
"Region1","COM_EL_APP_001",2033,1355.58375634518
"Region1","COM_EL_APP_001",2034,1467.02320522117
"Region1","COM_EL_APP_001",2035,1587.61783901378
"Region1","COM_EL_APP_001",2036,1718.12907904278
"Region1","COM_EL_APP_001",2037,1859.37273386512
"Region1","COM_EL_APP_001",2038,2012.21899927484
"Region1","COM_EL_APP_001",2039,2177.6287164612
"Region1","COM_EL_APP_001",2040,2356.63524292966
"Region1","COM_EL_APP_001",2041,2550.36258158086
"Region1","COM_EL_APP_001",2042,2760.00725163162
"Region1","COM_EL_APP_001",2043,2986.89267585207
"Region1","COM_EL_APP_001",2044,3232.43292240754
"Region1","COM_EL_APP_001",2045,3498.15083393764
"Region1","COM_EL_APP_001",2046,3785.71428571429
"Region1","COM_EL_APP_001",2047,4096.91805656273
"Region1","COM_EL_APP_001",2048,4433.70195794054
"Region1","COM_EL_APP_001",2049,4798.18709209572
"Region1","COM_EL_APP_001",2050,5192.60333575054
"Region1","IMP_DSL",2018,5635.52079594999
"Region1","IMP_DSL",2019,3805.25656229357
"Region1","IMP_DSL",2020,1999.98867179654
"Region1","IMP_DSL",2021,2135.3805041692
"Region1","IMP_DSL",2022,2346.68568503509
"Region1","IMP_DSL",2023,1951.38777862862
"Region1","IMP_DSL",2024,2940.55437739012
"Region1","IMP_DSL",2025,2386.75866317757
"Region1","IMP_DSL",2026,2355.23886330688
"Region1","IMP_DSL",2027,3760.22128478628
"Region1","IMP_DSL",2028,3028.24398933502
"Region1","IMP_DSL",2029,3122.13835783788
"Region1","IMP_DSL",2030,3499.08915471672
"Region1","IMP_DSL",2031,3735.4166000033
"Region1","IMP_DSL",2032,3966.68467885491
"Region1","IMP_DSL",2033,4173.35055853532
"Region1","IMP_DSL",2034,3256.40782207926
"Region1","IMP_DSL",2035,3468.83809914382
"Region1","IMP_DSL",2036,4017.02906356487
"Region1","IMP_DSL",2037,4143.05085271445
"Region1","IMP_DSL",2038,4373.22791193829
"Region1","IMP_DSL",2039,4376.09232251357
"Region1","IMP_DSL",2040,4430.90223394682
"Region1","IMP_DSL",2041,4449.94579777521
"Region1","IMP_DSL",2042,4469.8987337248
"Region1","IMP_DSL",2043,4562.25691777978
"Region1","IMP_DSL",2044,4863.20268271827
"Region1","IMP_DSL",2045,5184.16924986498
"Region1","IMP_DSL",2046,5526.49686108611
"Region1","IMP_DSL",2047,5891.61586720672
"Region1","IMP_DSL",2048,6281.05284596459
"Region1","IMP_DSL",2049,6696.43704728473
"Region1","IMP_DSL",2050,7139.50737179717
"Region1","IMP_GSL",2018,0
"Region1","IMP_GSL",2019,0
"Region1","IMP_GSL",2020,0
"Region1","IMP_GSL",2021,0
"Region1","IMP_GSL",2022,0
"Region1","IMP_GSL",2023,0
"Region1","IMP_GSL",2024,0
"Region1","IMP_GSL",2025,0
"Region1","IMP_GSL",2026,0
"Region1","IMP_GSL",2027,0
"Region1","IMP_GSL",2028,0
"Region1","IMP_GSL",2029,137.40464349116
"Region1","IMP_GSL",2030,43.8627628716461
"Region1","IMP_GSL",2031,43.8627628716461
"Region1","IMP_GSL",2032,61.9001902885247
"Region1","IMP_GSL",2033,135.841654199135
"Region1","IMP_GSL",2034,165.125370402241
"Region1","IMP_GSL",2035,179.021988
"Region1","IMP_GSL",2036,179.021988
"Region1","IMP_GSL",2037,0
"Region1","IMP_GSL",2038,0
"Region1","IMP_GSL",2039,0
"Region1","IMP_GSL",2040,0
"Region1","IMP_GSL",2041,0
"Region1","IMP_GSL",2042,0
"Region1","IMP_GSL",2043,0
"Region1","IMP_GSL",2044,0
"Region1","IMP_GSL",2045,0
"Region1","IMP_GSL",2046,0
"Region1","IMP_GSL",2047,0
"Region1","IMP_GSL",2048,0
"Region1","IMP_GSL",2049,0
"Region1","IMP_GSL",2050,0
"Region1","IMP_KER",2018,2.69906618399438
"Region1","IMP_KER",2019,0
"Region1","IMP_KER",2020,0
"Region1","IMP_KER",2021,0
"Region1","IMP_KER",2022,0
"Region1","IMP_KER",2023,0
"Region1","IMP_KER",2024,0
"Region1","IMP_KER",2025,0
"Region1","IMP_KER",2026,0
"Region1","IMP_KER",2027,0
"Region1","IMP_KER",2028,0
"Region1","IMP_KER",2029,9.28456474573528
"Region1","IMP_KER",2030,0
"Region1","IMP_KER",2031,0
"Region1","IMP_KER",2032,0
"Region1","IMP_KER",2033,0
"Region1","IMP_KER",2034,0
"Region1","IMP_KER",2035,0
"Region1","IMP_KER",2036,0
"Region1","IMP_KER",2037,0
"Region1","IMP_KER",2038,0
"Region1","IMP_KER",2039,0
"Region1","IMP_KER",2040,0
"Region1","IMP_KER",2041,0
"Region1","IMP_KER",2042,0
"Region1","IMP_KER",2043,0
"Region1","IMP_KER",2044,0
"Region1","IMP_KER",2045,0
"Region1","IMP_KER",2046,0
"Region1","IMP_KER",2047,0
"Region1","IMP_KER",2048,0
"Region1","IMP_KER",2049,0
"Region1","IMP_KER",2050,0
