r,t,e,y,AnnualTechnologyEmission
"Region1","BS_COM_EL_001","CO2eq",2031,0
"Region1","BS_COM_EL_001","CO2eq",2032,0
"Region1","BS_COM_EL_001","CO2eq",2033,0
"Region1","BS_COM_EL_001","CO2eq",2034,0
"Region1","BS_COM_EL_001","CO2eq",2035,0
"Region1","BS_COM_EL_001","CO2eq",2036,0
"Region1","BS_COM_EL_001","CO2eq",2037,0
"Region1","BS_COM_EL_001","CO2eq",2038,0
"Region1","BS_COM_EL_001","CO2eq",2039,0
"Region1","BS_COM_EL_001","CO2eq",2040,0
"Region1","BS_COM_EL_001","CO2eq",2041,0
"Region1","BS_COM_EL_001","CO2eq",2042,0
"Region1","BS_COM_EL_001","CO2eq",2043,0
"Region1","BS_COM_EL_001","CO2eq",2044,0
"Region1","BS_COM_EL_001","CO2eq",2045,0
"Region1","BS_COM_EL_001","CO2eq",2046,0
"Region1","BS_COM_EL_001","CO2eq",2047,0
"Region1","BS_COM_EL_001","CO2eq",2048,0
"Region1","BS_COM_EL_001","CO2eq",2049,0
"Region1","BS_COM_EL_001","CO2eq",2050,0
"Region1","BS_COM_EL_001","NOx",2018,0
"Region1","BS_COM_EL_001","NOx",2019,0
"Region1","BS_COM_EL_001","NOx",2020,0
"Region1","BS_COM_EL_001","NOx",2021,0
"Region1","BS_COM_EL_001","NOx",2022,0
"Region1","BS_COM_EL_001","NOx",2023,0
"Region1","BS_COM_EL_001","NOx",2024,0
"Region1","BS_COM_EL_001","NOx",2025,0
"Region1","BS_COM_EL_001","NOx",2026,0
"Region1","BS_COM_EL_001","NOx",2027,0
"Region1","BS_COM_EL_001","NOx",2028,0
"Region1","BS_COM_EL_001","NOx",2029,0
"Region1","BS_COM_EL_001","NOx",2030,0
"Region1","BS_COM_EL_001","NOx",2031,0
"Region1","BS_COM_EL_001","NOx",2032,0
"Region1","BS_COM_EL_001","NOx",2033,0
"Region1","BS_COM_EL_001","NOx",2034,0
"Region1","BS_COM_EL_001","NOx",2035,0
"Region1","BS_COM_EL_001","NOx",2036,0
"Region1","BS_COM_EL_001","NOx",2037,0
"Region1","BS_COM_EL_001","NOx",2038,0
"Region1","BS_COM_EL_001","NOx",2039,0
"Region1","BS_COM_EL_001","NOx",2040,0
"Region1","BS_COM_EL_001","NOx",2041,0
"Region1","BS_COM_EL_001","NOx",2042,0
"Region1","BS_COM_EL_001","NOx",2043,0
"Region1","BS_COM_EL_001","NOx",2044,0
"Region1","BS_COM_EL_001","NOx",2045,0
"Region1","BS_COM_EL_001","NOx",2046,0
