r,t,f,y,UseByTechnologyAnnual
"Region1","BIODSL_PROD_001","ELC_003",2031,0
"Region1","BIODSL_PROD_001","ELC_003",2032,0
"Region1","BIODSL_PROD_001","ELC_003",2033,0
"Region1","BIODSL_PROD_001","ELC_003",2034,0
"Region1","BIODSL_PROD_001","ELC_003",2035,0
"Region1","BIODSL_PROD_001","GEO",2018,0
"Region1","BIODSL_PROD_001","GEO",2019,0
"Region1","BIODSL_PROD_001","GEO",2020,0
"Region1","BIODSL_PROD_001","GEO",2021,0
"Region1","BIODSL_PROD_001","GEO",2022,0
"Region1","BIODSL_PROD_001","GEO",2023,0
"Region1","BIODSL_PROD_001","GEO",2024,0
"Region1","BIODSL_PROD_001","GEO",2025,0
"Region1","BIODSL_PROD_001","GEO",2026,0
"Region1","BIODSL_PROD_001","GEO",2027,0
"Region1","BIODSL_PROD_001","GEO",2028,0
"Region1","BIODSL_PROD_001","GEO",2029,0
"Region1","BIODSL_PROD_001","GEO",2030,0
"Region1","BIODSL_PROD_001","GEO",2031,0
"Region1","BIODSL_PROD_001","GEO",2032,0
"Region1","BIODSL_PROD_001","GEO",2033,0
"Region1","BIODSL_PROD_001","GEO",2034,0
"Region1","BIODSL_PROD_001","GEO",2035,0
"Region1","BIODSL_PROD_001","GSL",2018,0
"Region1","BIODSL_PROD_001","GSL",2019,0
"Region1","BIODSL_PROD_001","GSL",2020,0
"Region1","BIODSL_PROD_001","GSL",2021,0
"Region1","BIODSL_PROD_001","GSL",2022,0
"Region1","BIODSL_PROD_001","GSL",2023,0
"Region1","BIODSL_PROD_001","GSL",2024,0
"Region1","BIODSL_PROD_001","GSL",2025,0
"Region1","BIODSL_PROD_001","GSL",2026,0
"Region1","BIODSL_PROD_001","GSL",2027,0
"Region1","BIODSL_PROD_001","GSL",2028,0
"Region1","BIODSL_PROD_001","GSL",2029,0
"Region1","BIODSL_PROD_001","GSL",2030,0
"Region1","BIODSL_PROD_001","GSL",2031,0
"Region1","BIODSL_PROD_001","GSL",2032,0
"Region1","BIODSL_PROD_001","GSL",2033,0
"Region1","BIODSL_PROD_001","GSL",2034,0
"Region1","BIODSL_PROD_001","GSL",2035,0
"Region1","BIODSL_PROD_001","HYD",2018,0
"Region1","BIODSL_PROD_001","HYD",2019,0
"Region1","BIODSL_PROD_001","HYD",2020,0
"Region1","BIODSL_PROD_001","HYD",2021,0
"Region1","BIODSL_PROD_001","HYD",2022,0
"Region1","BIODSL_PROD_001","HYD",2023,0
"Region1","BIODSL_PROD_001","HYD",2024,0
"Region1","BIODSL_PROD_001","HYD",2025,0
"Region1","BIODSL_PROD_001","HYD",2026,0
"Region1","BIODSL_PROD_001","HYD",2027,0
"Region1","BIODSL_PROD_001","HYD",2028,0
"Region1","BIODSL_PROD_001","HYD",2029,0
"Region1","BIODSL_PROD_001","HYD",2030,0
"Region1","BIODSL_PROD_001","HYD",2031,0
"Region1","BIODSL_PROD_001","HYD",2032,0
"Region1","BIODSL_PROD_001","HYD",2033,0
"Region1","BIODSL_PROD_001","HYD",2034,0
"Region1","BIODSL_PROD_001","HYD",2035,0
"Region1","BIODSL_PROD_001","IND_CHEM",2018,0
"Region1","BIODSL_PROD_001","IND_CHEM",2019,0
"Region1","BIODSL_PROD_001","IND_CHEM",2020,0
"Region1","BIODSL_PROD_001","IND_CHEM",2021,0
"Region1","BIODSL_PROD_001","IND_CHEM",2022,0
"Region1","BIODSL_PROD_001","IND_CHEM",2023,0
"Region1","BIODSL_PROD_001","IND_CHEM",2024,0
"Region1","BIODSL_PROD_001","IND_CHEM",2025,0
"Region1","BIODSL_PROD_001","IND_CHEM",2026,0
"Region1","BIODSL_PROD_001","IND_CHEM",2027,0
"Region1","BIODSL_PROD_001","IND_CHEM",2028,0
"Region1","BIODSL_PROD_001","IND_CHEM",2029,0
"Region1","BIODSL_PROD_001","IND_CHEM",2030,0
"Region1","BIODSL_PROD_001","IND_CHEM",2031,0
"Region1","BIODSL_PROD_001","IND_CHEM",2032,0
"Region1","BIODSL_PROD_001","IND_CHEM",2033,0
"Region1","BIODSL_PROD_001","IND_CHEM",2034,0
"Region1","BIODSL_PROD_001","IND_CHEM",2035,0
"Region1","BIODSL_PROD_001","IND_CMNT",2018,0
"Region1","BIODSL_PROD_001","IND_CMNT",2019,0
"Region1","BIODSL_PROD_001","IND_CMNT",2020,0
"Region1","BIODSL_PROD_001","IND_CMNT",2021,0
"Region1","BIODSL_PROD_001","IND_CMNT",2022,0
"Region1","BIODSL_PROD_001","IND_CMNT",2023,0
"Region1","BIODSL_PROD_001","IND_CMNT",2024,0
"Region1","BIODSL_PROD_001","IND_CMNT",2025,0
"Region1","BIODSL_PROD_001","IND_CMNT",2026,0
"Region1","BIODSL_PROD_001","IND_CMNT",2027,0
"Region1","BIODSL_PROD_001","IND_CMNT",2028,0
"Region1","BIODSL_PROD_001","IND_CMNT",2029,0
"Region1","BIODSL_PROD_001","IND_CMNT",2030,0
"Region1","BIODSL_PROD_001","IND_CMNT",2031,0
"Region1","BIODSL_PROD_001","IND_CMNT",2032,0
"Region1","BIODSL_PROD_001","IND_CMNT",2033,0
"Region1","BIODSL_PROD_001","IND_CMNT",2034,0
"Region1","BIODSL_PROD_001","IND_CMNT",2035,0
"Region1","BIODSL_PROD_001","IND_FOOD",2018,0
"Region1","BIODSL_PROD_001","IND_FOOD",2019,0
"Region1","BIODSL_PROD_001","IND_FOOD",2020,0
"Region1","BIODSL_PROD_001","IND_FOOD",2021,0
"Region1","BIODSL_PROD_001","IND_FOOD",2022,0
"Region1","BIODSL_PROD_001","IND_FOOD",2023,0
"Region1","BIODSL_PROD_001","IND_FOOD",2024,0
"Region1","BIODSL_PROD_001","IND_FOOD",2025,0
"Region1","BIODSL_PROD_001","IND_FOOD",2026,0
"Region1","BIODSL_PROD_001","IND_FOOD",2027,0
"Region1","BIODSL_PROD_001","IND_FOOD",2028,0
"Region1","BIODSL_PROD_001","IND_FOOD",2029,0
"Region1","BIODSL_PROD_001","IND_FOOD",2030,0
"Region1","BIODSL_PROD_001","IND_FOOD",2031,0
"Region1","BIODSL_PROD_001","IND_FOOD",2032,0
"Region1","BIODSL_PROD_001","IND_FOOD",2033,0
"Region1","BIODSL_PROD_001","IND_FOOD",2034,0
"Region1","BIODSL_PROD_001","IND_FOOD",2035,0
"Region1","BIODSL_PROD_001","IND_OTH",2018,0
"Region1","BIODSL_PROD_001","IND_OTH",2019,0
"Region1","BIODSL_PROD_001","IND_OTH",2020,0
"Region1","BIODSL_PROD_001","IND_OTH",2021,0
"Region1","BIODSL_PROD_001","IND_OTH",2022,0
"Region1","BIODSL_PROD_001","IND_OTH",2023,0
"Region1","BIODSL_PROD_001","IND_OTH",2024,0
"Region1","BIODSL_PROD_001","IND_OTH",2025,0
"Region1","BIODSL_PROD_001","IND_OTH",2026,0
"Region1","BIODSL_PROD_001","IND_OTH",2027,0
"Region1","BIODSL_PROD_001","IND_OTH",2028,0
"Region1","BIODSL_PROD_001","IND_OTH",2029,0
"Region1","BIODSL_PROD_001","IND_OTH",2030,0
"Region1","BIODSL_PROD_001","IND_OTH",2031,0
"Region1","BIODSL_PROD_001","IND_OTH",2032,0
"Region1","BIODSL_PROD_001","IND_OTH",2033,0
"Region1","BIODSL_PROD_001","IND_OTH",2034,0
"Region1","BIODSL_PROD_001","IND_OTH",2035,0
"Region1","BIODSL_PROD_001","IND_TEXT",2018,0
"Region1","BIODSL_PROD_001","IND_TEXT",2019,0
"Region1","BIODSL_PROD_001","IND_TEXT",2020,0
"Region1","BIODSL_PROD_001","IND_TEXT",2021,0
"Region1","BIODSL_PROD_001","IND_TEXT",2022,0
"Region1","BIODSL_PROD_001","IND_TEXT",2023,0
"Region1","BIODSL_PROD_001","IND_TEXT",2024,0
"Region1","BIODSL_PROD_001","IND_TEXT",2025,0
"Region1","BIODSL_PROD_001","IND_TEXT",2026,0
"Region1","BIODSL_PROD_001","IND_TEXT",2027,0
"Region1","BIODSL_PROD_001","IND_TEXT",2028,0
"Region1","BIODSL_PROD_001","IND_TEXT",2029,0
"Region1","BIODSL_PROD_001","IND_TEXT",2030,0
"Region1","BIODSL_PROD_001","IND_TEXT",2031,0
"Region1","BIODSL_PROD_001","IND_TEXT",2032,0
"Region1","BIODSL_PROD_001","IND_TEXT",2033,0
"Region1","BIODSL_PROD_001","IND_TEXT",2034,0
"Region1","BIODSL_PROD_001","IND_TEXT",2035,0
"Region1","BIODSL_PROD_001","KER",2018,0
"Region1","BIODSL_PROD_001","KER",2019,0
"Region1","BIODSL_PROD_001","KER",2020,0
"Region1","BIODSL_PROD_001","KER",2021,0
"Region1","BIODSL_PROD_001","KER",2022,0
"Region1","BIODSL_PROD_001","KER",2023,0
"Region1","BIODSL_PROD_001","KER",2024,0
"Region1","BIODSL_PROD_001","KER",2025,0
"Region1","BIODSL_PROD_001","KER",2026,0
"Region1","BIODSL_PROD_001","KER",2027,0
"Region1","BIODSL_PROD_001","KER",2028,0
"Region1","BIODSL_PROD_001","KER",2029,0
"Region1","BIODSL_PROD_001","KER",2030,0
"Region1","BIODSL_PROD_001","KER",2031,0
"Region1","BIODSL_PROD_001","KER",2032,0
"Region1","BIODSL_PROD_001","KER",2033,0
"Region1","BIODSL_PROD_001","KER",2034,0
"Region1","BIODSL_PROD_001","KER",2035,0
"Region1","BIODSL_PROD_001","LPG",2018,0
"Region1","BIODSL_PROD_001","LPG",2019,0
"Region1","BIODSL_PROD_001","LPG",2020,0
